id,total_cases
749,1699089612
750,1709710536
751,1722008946
752,1732583522
753,1740964208
754,1747536845
755,1754814856
756,1762953015
757,1772798492
758,1781766897
759,1790349099
760,1797386486
761,1803104111
762,1809087370
763,1816468780
764,1824808758
765,1832485440
766,1839581517
767,1845736329
768,1850636004
769,1856378085
770,1863405515
771,1870573141
772,1878145490
773,1885755190
774,1892122605
775,1897331225
776,1903371732
777,1910945546
778,1918922669
779,1927060111
780,1935117298
781,1942656417
782,1948183196
783,1955071635
784,1962928723
785,1972532311
786,1981449982
787,1989889965
788,1997333803
789,2002011007
790,2008241172
791,2016889415
792,2024719275
793,2032480894
794,2040686417
795,2046697509
796,2050697557
797,2056995061
798,2064750263
799,2071782232
800,2080178317
801,2085239310
802,2089900361
803,2093383362
804,2097190610
805,2103246331
806,2109801310
807,2115199656
808,2120476480
809,2123855289
810,2126349303
811,2130609602
812,2135444693
813,2140044424
814,2144395352
815,2147516147
816,2149967925
817,2151834410
818,2153787184
819,2158192134
820,2162538594
821,2166613548
822,2170006903
823,2172179799
